日時,現地気圧(hPa),海面気圧(hPa),降水量(mm),気温(°C),露点温度(°C),蒸気圧(hPa),湿度(%),風速(m/s),風向,日照時間(h),全天日射量(MJ/㎡),降雪量(cm),積雪量(cm),天気,視程(km),スタジアム名,都道府県,屋内外
2025-03-24 2,1005.9,1012.4,--,12.5,2.7,7.4,51,3.5,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-24 3,1005.3,1011.8,--,11.9,3.2,7.7,55,2.4,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-24 4,1005.2,1011.7,--,11.8,2.5,7.3,53,2.0,北北東,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-24 5,1004.6,1011.1,--,11.6,2.6,7.4,54,3.6,北,,,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-24 6,1004.9,1011.4,--,11.4,2.7,7.4,55,1.5,北北東,,0.00,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-24 7,1005.3,1011.8,--,11.6,2.9,7.5,55,0.8,北東,0.0,0.05,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-24 8,1005.3,1011.8,--,12.3,3.5,7.9,55,0.4,南,0.0,0.27,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-24 9,1005.2,1011.6,--,14.5,4.2,8.3,50,1.0,南南西,0.4,0.97,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-24 10,1004.7,1011.1,--,16.7,2.7,7.4,39,1.0,南,0.3,1.42,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-24 11,1004.0,1010.3,--,18.2,3.7,7.9,38,4.2,南南西,0.0,1.27,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-24 12,1003.0,1009.3,--,19.1,4.1,8.2,37,2.9,南,0.0,1.41,--,--,曇,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
2025-03-24 13,1003.3,1009.7,0.5,15.5,8.7,11.3,64,6.1,南南西,0.0,0.37,--,--,雨,,Mazda Zoom-Zoom Stadium Hiroshima,Hiroshima,Outdoor
